Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https://github.com/Blealtan/efficient-kan,150,0,60005.3824000006,60052.32313866666,60005.3824000006,60068.341499999406,2995.0,0.5016595954774357,0.0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/features/actions,150,0,62000.0,76948.1303593333,60056.51630000011,109857.03510000076,2983.0,0.5016595954774357,0.0,62000,103000,105000,106000,107000,108000,109000,110000,110000,110000,110000
GET,/?url=https://github.com/karpathy/llm.c,150,0,60004.81750000017,60057.31918533331,60004.81750000017,60073.02119999986,2979.0,0.5016595954774357,0.0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/marketplace/naming-conventions-bot,150,0,60010.82379999934,60056.272994666695,60010.82379999934,60067.67110000055,3019.0,0.5016595954774357,0.0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
,Aggregated,600,0,60004.81750000017,64278.51141949998,60004.81750000017,109857.03510000076,2994.0,2.0066383819097426,0.0,60000,60000,60000,60000,62000,106000,107000,109000,110000,110000,110000
