Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1715005329,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1715005330,10,,Aggregated,0.000000,0.000000,25,28,30,32,42,67,72,75,75,75,75,100,0,25,29.08933700000489,16.50659999995696,75.18679999975575,25755.0
1715005331,30,,Aggregated,0.000000,0.000000,26,28,31,34,41,53,68,72,75,75,75,200,0,26,28.825686999998652,16.50659999995696,75.18679999975575,25755.0
1715005332,40,,Aggregated,79.000000,0.000000,25,28,30,32,40,53,66,70,75,75,75,300,0,25,28.12152666666255,16.50659999995696,75.18679999975575,25755.0
1715005333,50,,Aggregated,90.500000,0.000000,26,28,30,32,39,49,62,68,75,75,75,400,0,26,28.08079199999611,16.50659999995696,75.18679999975575,25755.0
1715005334,60,,Aggregated,93.666667,0.000000,25,28,30,31,38,49,62,70,550,550,550,440,0,25,29.710637499998814,15.714500000285625,553.8900999999896,25755.0
1715005335,70,,Aggregated,93.500000,0.000000,25,28,29,31,38,55,530,1300,1300,1300,1300,580,0,25,46.49793862068879,14.787000000069384,1292.8612999999132,25755.0
1715005336,80,,Aggregated,84.000000,0.000000,25,27,29,31,38,66,540,1300,1300,1300,1300,740,0,25,49.795823243247476,14.787000000069384,1292.8612999999132,25755.0
1715005337,90,,Aggregated,73.333333,0.000000,24,27,28,30,37,66,310,550,1300,1300,1300,894,0,24,46.88988299776319,14.787000000069384,1292.8612999999132,25710.80313199105
1715005338,100,,Aggregated,82.857143,0.000000,24,27,29,31,38,60,290,540,1300,1300,1300,1066,0,24,43.797588180111156,14.787000000069384,1292.8612999999132,25723.949343339587
1715005339,100,,Aggregated,95.000000,0.000000,23,27,29,30,37,60,300,550,1300,1300,1300,1170,0,23,43.603839401709436,14.787000000069384,1292.8612999999132,25755.0
1715005340,100,,Aggregated,106.444444,0.000000,24,27,29,31,39,68,540,840,1300,1400,1400,1330,0,24,49.22896120300568,14.787000000069384,1385.4664000000412,25755.0
1715005341,100,,Aggregated,111.800000,0.000000,24,27,29,31,38,72,540,800,1300,1400,1400,1458,0,24,49.37863497941894,14.787000000069384,1385.4664000000412,25624.27572016461
1715005342,100,,Aggregated,109.100000,0.000000,23,27,28,31,37,66,530,710,1300,1400,1400,1573,0,23,47.07080801016802,14.787000000069384,1385.4664000000412,25710.668785759695
1715005343,100,,Aggregated,114.900000,0.000000,23,26,28,30,37,62,510,710,1300,1400,1400,1643,0,23,45.84601405964365,14.787000000069384,1385.4664000000412,25738.691418137554
1715005344,100,,Aggregated,120.800000,0.000000,22,26,28,29,36,58,450,670,1300,1400,1400,1749,0,22,44.195454088046745,14.787000000069384,1385.4664000000412,25682.95826186392
1715005345,100,,Aggregated,121.000000,0.000000,22,25,27,29,35,53,330,610,1300,1400,1400,1912,0,22,42.10689916317721,14.787000000069384,1385.4664000000412,25710.597803347282
