Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https://github.com/AthenZ/athenz,3867,0,17,18.323230074993944,14.764200000172423,51.89539999992121,26922.0,12.903995708248495,0.0,17,18,19,20,22,24,28,31,42,52,52
GET,/?url=https://github.com/Blealtan/efficient-kan,3867,0,17,17.889079519005154,14.479999999821302,55.2415000001929,12671.0,12.903995708248495,0.0,17,18,19,19,21,23,27,30,43,55,55
GET,/?url=https://github.com/adrianhajdin/banking,3865,0,17,18.141113428205255,14.704799999890383,60.022200000275916,20867.0,12.8973218030464,0.0,17,18,19,20,21,24,28,31,53,60,60
GET,/?url=https://github.com/codecrafters-io/build-your-own-x,3865,0,20,21.28391190168146,16.837500000292493,62.71779999997307,75066.0,12.8973218030464,0.0,20,22,23,23,26,28,32,36,46,63,63
GET,/?url=https://github.com/fastfetch-cli/fastfetch,3865,0,17,18.149435316951006,14.666000000033819,70.16089999979158,22222.0,12.8973218030464,0.0,17,18,19,20,21,24,28,31,43,70,70
GET,/?url=https://github.com/features/actions,3867,0,23,34.3688293767717,17.06899999999223,1385.4664000000412,17370.0,12.903995708248495,0.0,23,25,26,27,32,41,150,330,1300,1400,1400
GET,/?url=https://github.com/huggingface/candle,3866,0,17,18.454957734098468,14.900799999850278,76.55529999965438,31000.0,12.900658755647449,0.0,17,19,19,20,22,24,28,31,51,77,77
GET,/?url=https://github.com/karpathy/llm.c,3867,0,17,18.121341117141146,14.597700000194891,77.11199999994278,20429.0,12.903995708248495,0.0,17,18,19,19,21,24,28,32,44,77,77
GET,/?url=https://github.com/marketplace/naming-conventions-bot,3867,0,17,17.854845306440463,14.476599999852624,70.74020000027303,13038.0,12.903995708248495,0.0,17,18,19,19,21,23,28,30,45,71,71
GET,/?url=https://github.com/tokio-rs/axum,3865,0,17,17.97831818887504,14.522200000101293,91.20239999992918,17965.0,12.8973218030464,0.0,17,18,19,19,21,23,27,31,46,91,91
,Aggregated,38661,0,18,20.056789376891913,14.476599999852624,1385.4664000000412,25753.152013657174,129.00992450907555,0.0,18,19,20,21,24,27,31,37,330,1300,1400
