Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https://github.com/AthenZ/athenz,1939,0,17,17.380232851989245,14.838699999927485,95.14600000011342,26922.0,6.489068919302534,0.0,17,17,18,18,20,21,22,24,30,95,95
GET,/?url=https://github.com/Blealtan/efficient-kan,1939,0,16,16.93942217638048,14.436899999964226,36.49309999991601,12671.0,6.489068919302534,0.0,16,17,17,18,19,21,23,26,35,36,36
GET,/?url=https://github.com/adrianhajdin/banking,1939,0,17,17.084317070654187,14.653100000032282,46.18510000000242,20867.0,6.489068919302534,0.0,17,17,18,18,19,21,22,23,32,46,46
GET,/?url=https://github.com/codecrafters-io/build-your-own-x,1939,0,19,20.32986364105049,16.922100000101636,40.149599999949714,75066.0,6.489068919302534,0.0,19,20,21,22,24,27,28,30,38,40,40
GET,/?url=https://github.com/fastfetch-cli/fastfetch,1939,0,17,17.199807529654066,14.831599999979517,39.814600000227074,22222.0,6.489068919302534,0.0,17,17,18,18,20,21,22,24,38,40,40
GET,/?url=https://github.com/features/actions,1939,0,21,31.56202784940772,16.93359999990207,1825.4259999998794,17370.0,6.489068919302534,0.0,21,23,24,25,27,30,46,220,1800,1800,1800
GET,/?url=https://github.com/huggingface/candle,1939,0,17,17.507948478597186,15.095999999630294,33.790700000281504,31000.0,6.489068919302534,0.0,17,18,18,19,20,22,23,25,33,34,34
GET,/?url=https://github.com/karpathy/llm.c,1939,0,17,17.1562248581747,14.81869999997798,95.27250000019194,20429.0,6.489068919302534,0.0,17,17,18,18,19,21,23,24,32,95,95
GET,/?url=https://github.com/marketplace/naming-conventions-bot,1939,0,16,16.89272073234105,14.642900000126247,99.57329999997455,13038.0,6.489068919302534,0.0,16,17,17,18,19,20,21,23,99,100,100
GET,/?url=https://github.com/tokio-rs/axum,1939,0,16,17.101428468278318,14.553400000295369,42.52550000001065,17965.0,6.489068919302534,0.0,16,17,18,18,19,21,22,25,41,43,43
,Aggregated,19390,0,17,18.915399365652775,14.436899999964226,1825.4259999998794,25755.0,64.89068919302534,0.0,17,18,19,19,21,23,26,28,220,1800,1800
