Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https://github.com/AthenZ/athenz,150,0,60008.66080000014,60059.836426,60008.66080000014,60079.5962000002,2977.0,0.27218219373487273,0.0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/Blealtan/efficient-kan,150,0,60009.85149999997,60058.82764866667,60009.85149999997,60076.13499999934,2995.0,0.27218219373487273,0.0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/adrianhajdin/banking,150,0,60011.622299999544,60060.981945333304,60011.622299999544,60089.62530000008,2991.0,0.27218219373487273,0.0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/fastfetch-cli/fastfetch,150,0,60006.855200000246,60058.83731000004,60006.855200000246,60078.58699999997,2997.0,0.27218219373487273,0.0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/features/actions,150,0,60063.19820000044,60551.80736400001,60063.19820000044,62067.82049999947,2983.0,0.27218219373487273,0.0,60000,61000,61000,61000,61000,61000,62000,62000,62000,62000,62000
GET,/?url=https://github.com/huggingface/candle,150,0,60010.54699999986,60061.44639333331,60010.54699999986,60084.24280000054,2987.0,0.27218219373487273,0.0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/karpathy/llm.c,150,0,60012.663800000155,60058.32324399998,60012.663800000155,60079.018800000085,2979.0,0.27218219373487273,0.0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/marketplace/naming-conventions-bot,150,0,60010.60839999991,60054.82867266659,60010.60839999991,60082.87440000004,3019.0,0.27218219373487273,0.0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/tokio-rs/axum,150,0,60010.74309999967,60063.60169466667,60010.74309999967,60088.89200000067,2977.0,0.27218219373487273,0.0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
,Aggregated,1350,0,60006.855200000246,60114.276744296294,60006.855200000246,62067.82049999947,2989.4444444444443,2.4496397436138544,0.0,60000,60000,60000,60000,60000,60000,61000,61000,62000,62000,62000
