Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1714940880,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1714940881,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1714940882,10,,Aggregated,0.000000,0.000000,1400,1500,1500,1500,1600,1600,1600,1600,1600,1600,1600,7,0,1400.0,1256.3743999997835,665.0651999998445,1563.3203999996113,17370.0
1714940883,15,,Aggregated,0.000000,0.000000,1300,1300,1500,1500,1500,1600,1600,1600,1600,1600,1600,16,0,1300.0,1248.214924999786,665.0651999998445,1563.3203999996113,15607.5
1714940884,20,,Aggregated,3.000000,0.000000,1300,1300,1400,1400,1500,1500,1600,1600,1600,1600,1600,24,0,1200.0,1198.7727916665563,665.0651999998445,1563.3203999996113,15572.541666666666
1714940885,25,,Aggregated,5.333333,0.000000,1300,1400,1400,1500,1600,2300,2300,2300,2300,2300,2300,31,0,1300.0,1305.0251612902714,665.0651999998445,2322.7939999997034,16021.774193548386
1714940886,35,,Aggregated,5.750000,0.000000,1300,1500,1600,2200,2400,3000,3800,3800,3800,3800,3800,37,0,1300.0,1524.282781081048,665.0651999998445,3778.4135000001697,16657.81081081081
1714940887,40,,Aggregated,5.400000,0.000000,1400,1800,2300,2400,3000,3600,4600,4600,4600,4600,4600,43,0,1400.0,1740.5210023255909,665.0651999998445,4557.087199999842,16735.279069767443
1714940888,45,,Aggregated,5.833333,0.000000,1500,2300,2500,2900,3500,3800,4600,4600,4600,4600,4600,49,0,1500.0,1940.1948489796303,665.0651999998445,4602.315200000703,16714.979591836734
1714940889,50,,Aggregated,5.833333,0.000000,1500,2400,2900,3200,3500,4600,4600,5500,5500,5500,5500,52,0,1500.0,2064.1380538461885,665.0651999998445,5469.191899999714,16586.153846153848
1714940890,50,,Aggregated,5.750000,0.000000,2100,2900,3500,3800,4900,5500,5600,6500,6500,6500,6500,60,0,2100.0,2455.4947783333773,665.0651999998445,6521.23340000071,16532.283333333333
1714940891,50,,Aggregated,5.777778,0.000000,2300,3300,4000,4600,5100,5600,6500,6500,6500,6500,6500,66,0,2300.0,2708.415809090969,665.0651999998445,6521.23340000071,16405.954545454544
1714940892,50,,Aggregated,5.600000,0.000000,2800,4100,4900,5000,5700,6500,6500,6600,6600,6600,6600,77,0,2800.0,3122.679700000088,665.0651999998445,6642.962800000532,16304.298701298701
1714940893,50,,Aggregated,6.300000,0.000000,3300,4900,5100,5400,6000,6300,6500,6600,6600,6600,6600,85,0,3300.0,3360.706854117724,665.0651999998445,6642.962800000532,16406.38823529412
1714940894,50,,Aggregated,6.500000,0.000000,3800,5000,5400,5500,6000,6500,6600,6600,6600,6600,6600,97,0,3800.0,3616.3229402062684,665.0651999998445,6642.962800000532,16729.474226804123
1714940895,50,,Aggregated,6.700000,0.000000,4200,5100,5400,5600,6000,6300,6500,6600,6600,6600,6600,103,0,4200.0,3722.9822475728974,665.0651999998445,6642.962800000532,16902.058252427185
1714940896,50,,Aggregated,7.000000,0.000000,4600,5300,5600,5700,6200,6500,6600,6600,6900,6900,6900,112,0,4500.0,3905.914607142936,665.0651999998445,6893.278999999893,17026.303571428572
1714940897,50,,Aggregated,7.400000,0.000000,4800,5300,5600,5700,6200,6500,6600,6600,6900,6900,6900,118,0,4600.0,3986.309972881426,665.0651999998445,6893.278999999893,16998.127118644068
1714940898,50,,Aggregated,7.400000,0.000000,5000,5400,5600,5700,6200,6400,6600,6600,6900,6900,6900,130,0,4900.0,4122.794820769286,665.0651999998445,6893.278999999893,16971.653846153848
1714940899,50,,Aggregated,7.400000,0.000000,5000,5500,5700,5800,6200,6400,6600,6600,6900,6900,6900,138,0,5000.0,4202.831419565276,665.0651999998445,6893.278999999893,16887.594202898552
1714940900,50,,Aggregated,8.200000,0.000000,5000,5500,5700,5900,6200,6400,6600,6700,6900,6900,6900,148,0,5000.0,4314.083868918979,665.0651999998445,6893.278999999893,17313.027027027027
1714940901,50,,Aggregated,8.600000,0.000000,5100,5500,5800,6000,6300,6500,6600,6900,7100,7100,7100,157,0,5100.0,4408.12608407648,665.0651999998445,7050.68510000001,17524.541401273884
1714940902,50,,Aggregated,9.000000,0.000000,5200,5600,5800,6000,6300,6500,6600,6900,7100,7100,7100,165,0,5200.0,4467.464533939438,665.0651999998445,7050.68510000001,17609.88484848485
1714940903,50,,Aggregated,8.600000,0.000000,5200,5600,5800,6000,6300,6500,6600,6900,7100,7100,7100,176,0,5200.0,4536.910909090945,665.0651999998445,7050.68510000001,17747.511363636364
1714940904,50,,Aggregated,9.000000,0.000000,5300,5700,5900,6000,6300,6500,6600,6900,7100,7100,7100,184,0,5300.0,4589.268433695693,665.0651999998445,7050.68510000001,17903.184782608696
1714940905,50,,Aggregated,8.500000,0.000000,5300,5700,5900,6000,6300,6500,6600,6900,7100,7100,7100,193,0,5300.0,4637.467637823876,665.0651999998445,7050.68510000001,18049.424870466322
1714940906,50,,Aggregated,8.800000,0.000000,5300,5700,5900,6000,6300,6500,6600,6700,7100,7100,7100,203,0,5300.0,4677.2814655172815,665.0651999998445,7050.68510000001,18153.665024630543
1714940907,50,,Aggregated,8.900000,0.000000,5300,5700,5900,6000,6300,6500,6700,6900,7100,7100,7100,208,0,5300.0,4700.969076442349,665.0651999998445,7050.68510000001,18158.389423076922
1714940908,50,,Aggregated,8.900000,0.000000,5300,5700,5900,6100,6300,6500,6700,6900,7100,7100,7100,224,0,5300.0,4757.206195535751,665.0651999998445,7050.68510000001,18232.303571428572
1714940909,50,,Aggregated,9.000000,0.000000,5300,5700,5900,6100,6300,6500,6700,6900,7100,7100,7100,235,0,5300.0,4782.174311914931,665.0651999998445,7050.68510000001,18126.4085106383
1714940910,50,,Aggregated,8.500000,0.000000,5300,5700,5900,6000,6300,6500,6700,6900,7100,7100,7100,243,0,5300.0,4787.700804526787,665.0651999998445,7050.68510000001,18168.090534979423
1714940911,50,,Aggregated,8.800000,0.000000,5300,5700,5900,6000,6300,6500,6700,6900,7100,7100,7100,248,0,5300.0,4795.1603572581,665.0651999998445,7050.68510000001,18301.814516129034
1714940912,50,,Aggregated,9.500000,0.000000,5300,5700,5900,6000,6300,6500,6600,6900,7100,7100,7100,253,0,5300.0,4795.224740316242,665.0651999998445,7050.68510000001,18343.8418972332
1714940913,50,,Aggregated,9.700000,0.000000,5300,5700,5900,6000,6300,6500,6700,6900,7100,7100,7100,257,0,5300.0,4811.750414396925,665.0651999998445,7050.68510000001,18469.66147859922
1714940914,50,,Aggregated,9.000000,0.000000,5300,5700,5900,6000,6300,6500,6700,6900,7100,7100,7100,260,0,5300.0,4827.918240384652,665.0651999998445,7050.68510000001,18529.473076923077
1714940915,50,,Aggregated,8.600000,0.000000,5300,5700,5900,6000,6300,6500,6700,7000,7700,7700,7700,261,0,5300.0,4838.732955938736,665.0651999998445,7650.559000000612,18561.62835249042
1714940916,50,,Aggregated,7.600000,0.000000,5300,5700,5900,6100,6400,6600,7100,7600,9700,9700,9700,265,0,5300.0,4886.52541207551,665.0651999998445,9740.284800000154,18664.97358490566
1714940917,50,,Aggregated,7.000000,0.000000,5400,5700,6000,6100,6500,6700,7700,9400,10000,10000,10000,269,0,5400.0,4955.091089219365,665.0651999998445,10274.542099999962,18780.405204460967
1714940918,50,,Aggregated,6.500000,0.000000,5400,5800,6000,6200,6600,8500,9700,11000,12000,12000,12000,278,0,5400.0,5115.250431654715,665.0651999998445,12384.402900000168,18993.309352517987
1714940919,50,,Aggregated,6.100000,0.000000,5400,5800,6100,6200,6700,8900,10000,12000,13000,13000,13000,283,0,5400.0,5201.461793639611,665.0651999998445,12957.997999999861,19126.40636042403
1714940920,50,,Aggregated,5.700000,0.000000,5500,5800,6100,6200,6900,9300,10000,12000,13000,13000,13000,286,0,5400.0,5259.584457342687,665.0651999998445,12957.997999999861,19187.00699300699
1714940921,50,,Aggregated,5.400000,0.000000,5500,5900,6200,6300,7900,9800,12000,12000,13000,13000,13000,295,0,5500.0,5415.590118983076,665.0651999998445,12957.997999999861,19533.57966101695
1714940922,50,,Aggregated,4.400000,0.000000,5500,5900,6200,6400,8900,11000,12000,13000,13000,13000,13000,301,0,5500.0,5534.2020229236105,665.0651999998445,12957.997999999861,19638.558139534885
1714940923,50,,Aggregated,4.200000,0.000000,5500,6000,6300,6500,9300,11000,12000,13000,15000,15000,15000,309,0,5500.0,5651.922605825266,665.0651999998445,14543.036500000198,19712.75080906149
1714940924,50,,Aggregated,4.600000,0.000000,5600,6000,6300,6600,9400,11000,12000,13000,15000,15000,15000,315,0,5600.0,5699.91202603177,665.0651999998445,14543.036500000198,19817.13015873016
1714940925,50,,Aggregated,5.000000,0.000000,5600,6100,6400,6800,9400,11000,12000,13000,15000,15000,15000,322,0,5600.0,5748.64333664599,665.0651999998445,14543.036500000198,19992.5
1714940926,50,,Aggregated,5.200000,0.000000,5700,6100,6500,7100,9500,11000,13000,13000,15000,15000,15000,331,0,5700.0,5813.23106193356,665.0651999998445,14624.885500000346,20129.395770392748
1714940927,50,,Aggregated,5.700000,0.000000,5700,6100,6500,7200,9500,11000,13000,13000,15000,15000,15000,333,0,5700.0,5822.978453453479,665.0651999998445,14624.885500000346,20168.324324324323
1714940928,50,,Aggregated,6.300000,0.000000,5700,6200,6700,7300,9500,11000,13000,13000,15000,15000,15000,347,0,5700.0,5890.822027377543,665.0651999998445,14624.885500000346,20403.734870317003
1714940929,50,,Aggregated,6.500000,0.000000,5700,6200,6700,7300,9400,11000,12000,13000,15000,15000,15000,351,0,5700.0,5902.771455270675,665.0651999998445,14624.885500000346,20400.210826210827
1714940931,50,,Aggregated,6.500000,0.000000,5700,6200,6800,7400,9400,11000,12000,13000,15000,15000,15000,355,0,5700.0,5912.538349577483,665.0651999998445,14624.885500000346,20559.952112676056
1714940932,50,,Aggregated,6.700000,0.000000,5700,6300,6800,7400,9400,11000,12000,13000,15000,15000,15000,358,0,5700.0,5924.0072960894,665.0651999998445,14624.885500000346,20598.39944134078
1714940933,50,,Aggregated,6.700000,0.000000,5800,6300,7000,7500,9400,11000,12000,13000,15000,15000,15000,367,0,5800.0,5976.9906871934745,665.0651999998445,14624.885500000346,21219.547683923705
1714940934,50,,Aggregated,6.700000,0.000000,5800,6400,7100,7600,9400,11000,12000,13000,15000,15000,15000,374,0,5800.0,6022.74975240643,665.0651999998445,14624.885500000346,21231.064171122995
1714940935,50,,Aggregated,6.100000,0.000000,5800,6400,7100,7600,9400,11000,12000,13000,15000,15000,15000,375,0,5800.0,6029.885194133346,665.0651999998445,14624.885500000346,21376.842666666667
1714940936,50,,Aggregated,6.500000,0.000000,5900,6500,7200,7600,9500,11000,13000,13000,15000,15000,15000,382,0,5900.0,6085.277619371739,665.0651999998445,14624.885500000346,21374.096858638743
1714940937,50,,Aggregated,6.500000,0.000000,5900,6500,7300,7700,9500,11000,13000,13000,15000,15000,15000,386,0,5900.0,6103.538169430063,665.0651999998445,14624.885500000346,21510.911917098445
1714940938,50,,Aggregated,5.400000,0.000000,5900,6500,7300,7700,9500,11000,13000,13000,15000,15000,15000,389,0,5900.0,6112.194774807208,665.0651999998445,14624.885500000346,21505.45244215938
1714940939,50,,Aggregated,5.400000,0.000000,5900,6500,7300,7800,9500,11000,13000,13000,15000,15000,15000,390,0,5900.0,6122.169007948729,665.0651999998445,14624.885500000346,21644.920512820514
1714940940,50,,Aggregated,5.500000,0.000000,5900,6500,7300,7800,9500,11000,13000,13000,15000,15000,15000,392,0,5900.0,6136.444072193889,665.0651999998445,14624.885500000346,21773.933673469386
1714940941,50,,Aggregated,5.300000,0.000000,5900,6500,7300,7800,9500,11000,13000,14000,15000,15000,15000,393,0,5900.0,6157.436490585252,665.0651999998445,14624.885500000346,21771.625954198473
1714940942,50,,Aggregated,4.000000,0.000000,5900,6500,7400,8000,9700,11000,13000,14000,15000,15000,15000,397,0,5900.0,6211.403816876587,665.0651999998445,14624.885500000346,22043.158690176322
1714940943,50,,Aggregated,3.800000,0.000000,5900,6600,7500,8100,9800,12000,13000,14000,15000,15000,15000,400,0,5900.0,6251.804110750011,665.0651999998445,14993.34429999999,22164.66
1714940944,50,,Aggregated,3.800000,0.000000,5900,6600,7500,8100,10000,12000,13000,15000,17000,17000,17000,402,0,5900.0,6301.94729079603,665.0651999998445,17057.021700000405,22158.2039800995
1714940945,50,,Aggregated,3.200000,0.000000,5900,6700,7600,8300,10000,12000,14000,16000,17000,17000,17000,406,0,5900.0,6396.722055911342,665.0651999998445,17057.021700000405,22145.48275862069
1714940946,50,,Aggregated,2.800000,0.000000,6000,6700,7600,8400,10000,12000,15000,16000,17000,17000,17000,409,0,6000.0,6439.663350366761,665.0651999998445,17057.021700000405,22120.45965770171
1714940947,50,,Aggregated,2.800000,0.000000,6000,6800,7700,8500,11000,13000,15000,16000,18000,18000,18000,414,0,6000.0,6536.299076086971,665.0651999998445,17945.859800000107,22238.246376811596
1714940948,50,,Aggregated,2.900000,0.000000,6000,6800,7700,8500,11000,13000,15000,16000,18000,18000,18000,415,0,6000.0,6536.644567710856,665.0651999998445,17945.859800000107,22226.515662650603
1714940949,50,,Aggregated,2.800000,0.000000,6000,6900,7700,8500,11000,13000,16000,17000,20000,20000,20000,418,0,6000.0,6594.503233492836,665.0651999998445,19874.14020000051,22209.815789473683
1714940950,50,,Aggregated,2.700000,0.000000,6000,7000,7800,8600,11000,13000,16000,17000,20000,20000,20000,420,0,6000.0,6630.657950476202,665.0651999998445,19874.14020000051,22195.095238095237
1714940951,50,,Aggregated,2.700000,0.000000,6000,7000,7900,8700,11000,13000,16000,17000,20000,20000,20000,423,0,6000.0,6675.133670449184,665.0651999998445,19874.14020000051,22169.141843971633
1714940952,50,,Aggregated,2.700000,0.000000,6000,7000,8000,8800,11000,14000,17000,18000,20000,20000,20000,427,0,6000.0,6769.53398899299,665.0651999998445,19874.14020000051,22285.822014051522
1714940953,50,,Aggregated,2.900000,0.000000,6100,7200,8300,9000,12000,15000,18000,19000,20000,20000,20000,438,0,6100.0,6943.951057762574,665.0651999998445,19874.14020000051,22473.625570776258
1714940954,50,,Aggregated,3.100000,0.000000,6100,7300,8500,9400,12000,15000,18000,19000,20000,20000,20000,444,0,6100.0,6998.826312387402,665.0651999998445,19874.14020000051,22404.63738738739
1714940955,50,,Aggregated,3.400000,0.000000,6100,7400,8500,9500,12000,15000,18000,19000,20000,20000,20000,452,0,6100.0,7069.892904203554,665.0651999998445,19874.14020000051,22460.67699115044
1714940956,50,,Aggregated,3.900000,0.000000,6200,7500,8600,9500,12000,16000,18000,19000,20000,20000,20000,460,0,6200.0,7157.12846173914,665.0651999998445,19874.14020000051,22386.03043478261
1714940957,50,,Aggregated,4.700000,0.000000,6200,7500,8700,9600,12000,16000,19000,19000,20000,20000,20000,466,0,6200.0,7201.072955794004,665.0651999998445,19874.14020000051,22448.304721030043
1714940958,50,,Aggregated,5.200000,0.000000,6200,7500,8600,9500,12000,15000,19000,19000,20000,20000,20000,481,0,6200.0,7179.292924324337,665.0651999998445,19874.14020000051,22379.67151767152
1714940959,50,,Aggregated,5.200000,0.000000,6200,7500,8600,9500,12000,15000,19000,19000,20000,20000,20000,486,0,6200.0,7161.768438888903,665.0651999998445,19874.14020000051,22549.220164609054
1714940960,50,,Aggregated,5.700000,0.000000,6200,7400,8500,9500,12000,15000,19000,19000,20000,20000,20000,493,0,6200.0,7139.409510953358,665.0651999998445,19874.14020000051,22708.949290060853
1714940961,50,,Aggregated,6.900000,0.000000,6200,7300,8500,9400,12000,15000,18000,19000,20000,20000,20000,502,0,6200.0,7116.950877290843,665.0651999998445,19874.14020000051,23302.581673306773
1714940962,50,,Aggregated,6.900000,0.000000,6200,7300,8500,9400,12000,15000,18000,19000,20000,20000,20000,507,0,6200.0,7103.502701577914,665.0651999998445,19874.14020000051,23361.903353057198
1714940963,50,,Aggregated,7.400000,0.000000,6200,7300,8500,9400,12000,15000,18000,19000,20000,20000,20000,508,0,6200.0,7103.479374015752,665.0651999998445,19874.14020000051,23465.320866141734
1714940964,50,,Aggregated,8.000000,0.000000,6200,7200,8400,9300,12000,15000,18000,19000,20000,20000,20000,520,0,6200.0,7084.369275769235,665.0651999998445,19874.14020000051,23795.25
1714940965,50,,Aggregated,7.400000,0.000000,6200,7200,8300,9200,12000,15000,18000,19000,20000,20000,20000,530,0,6200.0,7068.136261509439,665.0651999998445,19874.14020000051,24311.384905660376
1714940966,50,,Aggregated,7.000000,0.000000,6200,7200,8300,9100,12000,15000,18000,19000,20000,20000,20000,535,0,6200.0,7049.824590467296,665.0651999998445,19874.14020000051,24345.43364485981
1714940967,50,,Aggregated,7.600000,0.000000,6200,7100,8300,9000,11000,15000,18000,19000,20000,20000,20000,545,0,6200.0,7032.48401614679,665.0651999998445,19874.14020000051,24857.11743119266
1714940968,50,,Aggregated,7.300000,0.000000,6200,7100,8200,8900,11000,15000,18000,19000,20000,20000,20000,557,0,6200.0,6963.642031059244,665.0651999998445,19874.14020000051,24862.815080789947
